,video_id,time,event,event_attributes
0,1606b0e6_0,200.2658219228331,start,
0,1606b0e6_0,201.0,start_challenge,['ball_action_forced']
1,1606b0e6_0,201.3,end_challenge,['ball_action_forced']
2,1606b0e6_0,202.7658219228331,end,
3,1606b0e6_0,210.1241112190777,start,
2,1606b0e6_0,210.72,start_challenge,['opponent_dispossessed']
3,1606b0e6_0,211.02,end_challenge,['opponent_dispossessed']
5,1606b0e6_0,212.62411121907763,end,
6,1606b0e6_0,217.85021315887616,start,
4,1606b0e6_0,219.155,start_throwin,['pass']
5,1606b0e6_0,219.30499999999998,end_throwin,['pass']
8,1606b0e6_0,220.35021315887616,end,
9,1606b0e6_0,223.93085035165868,start,
6,1606b0e6_0,224.35500000000002,start_play,"['pass', 'openplay']"
7,1606b0e6_0,224.505,end_play,"['pass', 'openplay']"
11,1606b0e6_0,226.43085035165868,end,
12,1606b0e6_0,228.95536736025028,start,
8,1606b0e6_0,229.315,start_play,"['pass', 'openplay']"
9,1606b0e6_0,229.46499999999997,end_play,"['pass', 'openplay']"
14,1606b0e6_0,231.45536736025028,end,
15,1606b0e6_0,236.2482266928517,start,
10,1606b0e6_0,236.63500000000002,start_play,"['pass', 'openplay']"
11,1606b0e6_0,236.785,end_play,"['pass', 'openplay']"
12,1606b0e6_0,239.275,start_play,"['pass', 'openplay']"
13,1606b0e6_0,239.42499999999998,end_play,"['pass', 'openplay']"
18,1606b0e6_0,240.40185058200385,end,
19,1606b0e6_0,241.63593256474053,start,
14,1606b0e6_0,242.315,start_play,"['pass', 'openplay']"
15,1606b0e6_0,242.46499999999997,end_play,"['pass', 'openplay']"
16,1606b0e6_0,244.51500000000001,start_play,"['pass', 'openplay']"
17,1606b0e6_0,244.665,end_play,"['pass', 'openplay']"
22,1606b0e6_0,246.0304528876541,end,
23,1606b0e6_0,246.9756757538597,start,
18,1606b0e6_0,248.03500000000003,start_play,"['pass', 'openplay']"
19,1606b0e6_0,248.185,end_play,"['pass', 'openplay']"
25,1606b0e6_0,249.4756757538597,end,
26,1606b0e6_0,250.2235142850976,start,
20,1606b0e6_0,250.675,start_play,"['pass', 'openplay']"
21,1606b0e6_0,250.825,end_play,"['pass', 'openplay']"
22,1606b0e6_0,253.39500000000004,start_play,"['pass', 'openplay']"
23,1606b0e6_0,253.54500000000002,end_play,"['pass', 'openplay']"
29,1606b0e6_0,253.99076129893643,end,
30,1606b0e6_0,254.87811980949263,start,
24,1606b0e6_0,256.75500000000005,start_play,"['pass', 'openplay']"
25,1606b0e6_0,256.90500000000003,end_play,"['pass', 'openplay']"
32,1606b0e6_0,257.37811980949266,end,
33,1606b0e6_0,258.27323494359047,start,
26,1606b0e6_0,258.75500000000005,start_play,"['pass', 'openplay']"
27,1606b0e6_0,258.90500000000003,end_play,"['pass', 'openplay']"
28,1606b0e6_0,261.235,start_play,"['pass', 'openplay']"
29,1606b0e6_0,261.385,end_play,"['pass', 'openplay']"
30,1606b0e6_0,263.075,start_play,"['pass', 'openplay']"
31,1606b0e6_0,263.22499999999997,end_play,"['pass', 'openplay']"
37,1606b0e6_0,265.0192830209878,end,
38,1606b0e6_0,265.5290206520196,start,
32,1606b0e6_0,266.075,start_play,"['pass', 'openplay']"
33,1606b0e6_0,266.22499999999997,end_play,"['pass', 'openplay']"
40,1606b0e6_0,268.0290206520196,end,
41,1606b0e6_0,268.8736511817957,start,
34,1606b0e6_0,269.235,start_play,"['pass', 'openplay']"
35,1606b0e6_0,269.385,end_play,"['pass', 'openplay']"
36,1606b0e6_0,272.035,start_play,"['cross', 'openplay']"
37,1606b0e6_0,272.185,end_play,"['cross', 'openplay']"
44,1606b0e6_0,273.86856955916846,end,
45,1606b0e6_0,275.35451491583,start,
38,1606b0e6_0,276.595,start_play,"['pass', 'openplay']"
39,1606b0e6_0,276.745,end_play,"['pass', 'openplay']"
47,1606b0e6_0,277.85451491583,end,
48,1606b0e6_0,281.416899599687,start,
40,1606b0e6_0,282.115,start_play,"['pass', 'openplay']"
41,1606b0e6_0,282.265,end_play,"['pass', 'openplay']"
42,1606b0e6_0,284.07500000000005,start_play,"['pass', 'openplay']"
43,1606b0e6_0,284.225,end_play,"['pass', 'openplay']"
51,1606b0e6_0,285.227198334008,end,
52,1606b0e6_0,289.97786573625683,start,
44,1606b0e6_0,290.915,start_play,"['pass', 'openplay']"
45,1606b0e6_0,291.065,end_play,"['pass', 'openplay']"
46,1606b0e6_0,294.235,start_play,"['pass', 'openplay']"
47,1606b0e6_0,294.385,end_play,"['pass', 'openplay']"
55,1606b0e6_0,294.9537005885954,end,
56,1606b0e6_0,295.84360270045954,start,
48,1606b0e6_0,296.235,start_play,"['pass', 'openplay']"
49,1606b0e6_0,296.385,end_play,"['pass', 'openplay']"
50,1606b0e6_0,298.71500000000003,start_play,"['pass', 'openplay']"
51,1606b0e6_0,298.865,end_play,"['pass', 'openplay']"
52,1606b0e6_0,300.84000000000003,start_challenge,['possession_retained']
53,1606b0e6_0,301.14,end_challenge,['possession_retained']
60,1606b0e6_0,302.2705267159868,end,
61,1606b0e6_0,306.31106226519955,start,
54,1606b0e6_0,307.12,start_challenge,['opponent_dispossessed']
